mona_id	msg_id	cosine_similarity	mona_smiles	msg_smiles
MoNA_42475	MassSpecGymID0182380	0.8525449641455497	COc1cc2oc3c(Cl)c(OC)cc(C)c3c(=O)c2c(O)c1Cl	CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O
MoNA_67357	MassSpecGymID0190474	0.7524820101162474	CC1=CCC2(C)C(=O)C(=O)C(C(C)CO)=C2CCC(C)C(O)CCC(C)=CCC1	CC(C)c1ccc2c(c1)C(O)CC1C(C)(CO)CCCC21C
MoNA_67252	MassSpecGymID0181895	0.7532043623138278	C=C1C(=O)OC2CC(C)=C3CC(=O)C(C)C3CC12	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
MoNA_42471	MassSpecGymID0298116	0.7647419499617992	COc1cc2oc3c(Cl)c(OC)c(Cl)c(C)c3c(=O)c2c(O)c1Cl	COc1cc2occc2c2oc(=O)ccc12
MoNA_42487	MassSpecGymID0071804	0.856647207481008	Cc1cc(O)c(Cl)c2oc3c(Cl)c(O)c(Cl)c(O)c3c(=O)c12	COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
MoNA_2617	MassSpecGymID0193660	0.782780533950107	CC=C1C(C)C(=O)C(C)CC12C(=O)CCC2C(=O)O	CC1C(=O)CC2C3CCC(C(=O)O)C12CC3(C)CO
MoNA_45557	MassSpecGymID0009541	0.8731406412927846	Cc1nc(N)c2ncn(C3OC(CO)C(O)C3O)c2n1	Nc1ncnc2c1ncn2C1CC(O)C(CO)O1
MoNA_65337	MassSpecGymID0095531	0.7342774441201091	COc1cc2c(cc1OC)C1C(=O)c3ccc4c(c3OC1CO2)CC(C(C)C)O4	C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1
MoNA_38543	MassSpecGymID0181895	0.8303026456865581	C=C1C(=O)OC2CC(C)=C(C(C)CCCOC3OC(CO)C(O)C(O)C3O)C(O)C12	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
MoNA_42471	MassSpecGymID0181892	0.7575653424108096	COc1cc2oc3c(Cl)c(OC)c(Cl)c(C)c3c(=O)c2c(O)c1Cl	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
MoNA_42473	MassSpecGymID0398971	0.7870138584035694	COc1cc(C)c2c(=O)c3c(O)cc(OC)cc3oc2c1	COc1cc2oc3ccccc3c(=O)c2cc1OC
MoNA_42475	MassSpecGymID0008091	0.8953821238215509	COc1cc2oc3c(Cl)c(OC)cc(C)c3c(=O)c2c(O)c1Cl	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
MoNA_77024	MassSpecGymID0148193	0.8084982788769013	CC1=CC2(O)OC3(CC2=C(C)C)C(C)CCC13	CC1C(=O)OC2C1CCC1(C)C(=O)C=CC(C)(O)C21
MoNA_2766	MassSpecGymID0192477	0.7627684818837992	CC1=C2C3OC(=O)C(C)C3(O)CCC2(C)CCC1=O	CCC=Cc1oc(O)c2c1CCC(O)C2O
MoNA_38545	MassSpecGymID0202510	0.908915255826892	C=C1C(=O)OC2CC(C)=C(C(C)CCCOC3OC(CO)C(O)C(O)C3O)C(O)C12	Cc1cc(=O)n(-c2ccccc2)[nH]1
MoNA_42487	MassSpecGymID0181892	0.8942741170270349	Cc1cc(O)c(Cl)c2oc3c(Cl)c(O)c(Cl)c(O)c3c(=O)c12	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
MoNA_42489	MassSpecGymID0202510	0.8230184573134975	Cc1cc(O)cc2oc3c(Cl)c(O)cc(O)c3c(=O)c12	Cc1cc(=O)n(-c2ccccc2)[nH]1
