mona_id	msg_id	cosine_similarity	mona_smiles	msg_smiles
MoNA_42475	MassSpecGymID0182380	0.8525449641455497	COc1cc2oc3c(Cl)c(OC)cc(C)c3c(=O)c2c(O)c1Cl	CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O
MoNA_67357	MassSpecGymID0190474	0.7524820101162474	CC1=CCC2(C)C(=O)C(=O)C(C(C)CO)=C2CCC(C)C(O)CCC(C)=CCC1	CC(C)c1ccc2c(c1)C(O)CC1C(C)(CO)CCCC21C
MoNA_8451	MassSpecGymID0009548	0.8789493745917798	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1	Nc1ncnc2c1ncn2C1CC(O)C(CO)O1
MoNA_67525	MassSpecGymID0193644	0.8377447045671775	COC(=O)CC(O)C1OC(c2ccccc2)C(O)C1O	CC1=C(C)C(=O)OC(C(C)(O)C2CCC3C4CC=C5CC(OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CC(O)C5(C)C4CCC32C)C1
MoNA_67252	MassSpecGymID0181895	0.7532043623138278	C=C1C(=O)OC2CC(C)=C3CC(=O)C(C)C3CC12	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
MoNA_8451	MassSpecGymID0140960	0.9491511638041118	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1	CC(=CCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O)CO
MoNA_67525	MassSpecGymID0193497	0.7769438061134722	COC(=O)CC(O)C1OC(c2ccccc2)C(O)C1O	COc1ccc(CCOC2OC(COC3OCC(O)(CO)C3O)C(OC(=O)C=Cc3ccc(O)c(O)c3)C(OC3OC(C)C(O)C(O)C3O)C2O)cc1OC
MoNA_2678	MassSpecGymID0163596	0.7988946404905898	CC(C)c1ccc2c(c1)C(O)CC1C(C)(CO)CCCC21C	CC1(C(=O)O)CCCC2(C)C1C(O)C(O)C13CC(CCC21)C(CO)(OC1OC(CO)C(O)C(O)C1O)C3
MoNA_2678	MassSpecGymID0190128	0.8340243389836995	CC(C)c1ccc2c(c1)C(O)CC1C(C)(CO)CCCC21C	COc1c2c(c(C)c3c1C(=O)OC3)OC1(C)CC(O)C34OC(OC)(CC(OC(C)=O)C3(C)C1C2)OC4(C)C
MoNA_42471	MassSpecGymID0298116	0.7647419499617992	COc1cc2oc3c(Cl)c(OC)c(Cl)c(C)c3c(=O)c2c(O)c1Cl	COc1cc2occc2c2oc(=O)ccc12
MoNA_68141	MassSpecGymID0162887	0.723125859182619	CC=C(C)C(=O)OC1c2c(ccc3ccc(=O)oc23)OC1C(C)(C)OC(=O)C(C)=CC	CC1=C2C(=O)C3C(CC=C4CC(O)CCC43C)C2CCC12OC1CC(C)CNC1C2C
MoNA_8058	MassSpecGymID0134504	0.7158757730824487	C=c1cc(O)c2c(O)c(OC)c(O)c3c(O)c4c(c1c23)OC(C)C4(C)C	O=c1c(-c2ccc(O)cc2)coc2c(C3OC(CO)C(O)C(O)C3O)c(O)ccc12
MoNA_8451	MassSpecGymID0304943	0.8410979359245274	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1	COC1CC(OC2CCC3(C)C(CCC45OC46CCC(C(C)=O)C6(C)C(OC(C)=O)C(OC(=O)c4ccccc4)C35)C2)OC(C)C1OC1OC(C)C(O)C(OC)C1O
MoNA_45650	MassSpecGymID0230702	0.8167358209090727	CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1	O=c1c(-n2ccnn2)c[nH]n1-c1cc(N2CCOCC2)ncn1
MoNA_42487	MassSpecGymID0071804	0.856647207481008	Cc1cc(O)c(Cl)c2oc3c(Cl)c(O)c(Cl)c(O)c3c(=O)c12	COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
MoNA_2617	MassSpecGymID0193660	0.782780533950107	CC=C1C(C)C(=O)C(C)CC12C(=O)CCC2C(=O)O	CC1C(=O)CC2C3CCC(C(=O)O)C12CC3(C)CO
MoNA_8451	MassSpecGymID0365792	0.8337769820820339	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1	Cc1ccc2cc(C3CC(=O)Oc4cc(C)n(C)c(=O)c43)c(=O)[nH]c2c1
MoNA_8451	MassSpecGymID0282723	0.7509200722025107	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1	C=C1CCC2C(C)(CCC(O)C2(C)CO)C1=CC=C1COC(=O)C1
MoNA_8451	MassSpecGymID0367766	0.7160935817686924	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1	COC(=O)C1C(=N)Oc2cc(C)oc(=O)c2C1c1ccccc1
MoNA_45557	MassSpecGymID0009541	0.8731406412927846	Cc1nc(N)c2ncn(C3OC(CO)C(O)C3O)c2n1	Nc1ncnc2c1ncn2C1CC(O)C(CO)O1
MoNA_82360	MassSpecGymID0376466	0.7304678862496287	CC(=CCc1c(O)c(Cl)c(C)c(C=O)c1O)CCC1(C)C(C)CCC(=O)C1C	COc1ccc2c(c1OC)c(=O)n1c3ccccc3c3c(-c4ccccc4)cnc2c31
MoNA_82360	MassSpecGymID0246059	0.7314602882185006	CC(=CCc1c(O)c(Cl)c(C)c(C=O)c1O)CCC1(C)C(C)CCC(=O)C1C	COc1ccc(-c2cn3c4c(=O)n(C)c(=O)n(C)c4nc3n2-c2ccc(O)cc2)cc1
MoNA_8451	MassSpecGymID0284477	0.8423909388952726	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1	CC1CCC2N(C1)CC1C3CC4C(CC(=O)C5CC(O)CCC54C)C3CCC1C2(C)O
MoNA_8451	MassSpecGymID0378036	0.863227049333899	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1	Cc1cc(=O)oc2c(C[NH+]3CCCCC3C)c([O-])ccc12
MoNA_67493	MassSpecGymID0194046	0.8040358304354827	CC1CC(=O)C2=C(O1)OC1(C)CCC3C(C)(C)C4OC4C(=O)C3(C)C1C2	CC1(C)C2CC=C(COC3OC(COC4OCC(O)C(O)C4O)C(O)C(O)C3O)C1C2
