mona_id	msg_id	cosine_similarity	mona_smiles
MoNA_42475	MassSpecGymID0182380	0.8525449641455497	COc1cc2oc3c(Cl)c(OC)cc(C)c3c(=O)c2c(O)c1Cl
MoNA_67357	MassSpecGymID0190474	0.7524820101162474	CC1=CCC2(C)C(=O)C(=O)C(C(C)CO)=C2CCC(C)C(O)CCC(C)=CCC1
MoNA_8451	MassSpecGymID0009548	0.8789493745917798	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1
MoNA_67525	MassSpecGymID0193644	0.8377447045671775	COC(=O)CC(O)C1OC(c2ccccc2)C(O)C1O
MoNA_67252	MassSpecGymID0181895	0.7532043623138278	C=C1C(=O)OC2CC(C)=C3CC(=O)C(C)C3CC12
MoNA_8451	MassSpecGymID0140960	0.9491511638041118	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1
MoNA_67525	MassSpecGymID0193497	0.7769438061134722	COC(=O)CC(O)C1OC(c2ccccc2)C(O)C1O
MoNA_2678	MassSpecGymID0163596	0.7988946404905898	CC(C)c1ccc2c(c1)C(O)CC1C(C)(CO)CCCC21C
MoNA_2678	MassSpecGymID0190128	0.8340243389836995	CC(C)c1ccc2c(c1)C(O)CC1C(C)(CO)CCCC21C
MoNA_42471	MassSpecGymID0298116	0.7647419499617992	COc1cc2oc3c(Cl)c(OC)c(Cl)c(C)c3c(=O)c2c(O)c1Cl
MoNA_1170	MassSpecGymID0168326	0.9958060931090358	COc1cc2c(cc1O)CC1c3c(cc(OC)c(OC)c3-2)CC[N+]1(C)[O-]
MoNA_68141	MassSpecGymID0162887	0.723125859182619	CC=C(C)C(=O)OC1c2c(ccc3ccc(=O)oc23)OC1C(C)(C)OC(=O)C(C)=CC
MoNA_8058	MassSpecGymID0134504	0.7158757730824487	C=c1cc(O)c2c(O)c(OC)c(O)c3c(O)c4c(c1c23)OC(C)C4(C)C
MoNA_8451	MassSpecGymID0304943	0.8410979359245274	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1
MoNA_45650	MassSpecGymID0230702	0.8167358209090727	CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1
MoNA_42487	MassSpecGymID0071804	0.856647207481008	Cc1cc(O)c(Cl)c2oc3c(Cl)c(O)c(Cl)c(O)c3c(=O)c12
MoNA_2617	MassSpecGymID0193660	0.782780533950107	CC=C1C(C)C(=O)C(C)CC12C(=O)CCC2C(=O)O
MoNA_8451	MassSpecGymID0365792	0.8337769820820339	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1
MoNA_8451	MassSpecGymID0282723	0.7509200722025107	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1
MoNA_8451	MassSpecGymID0367766	0.7160935817686924	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1
MoNA_45557	MassSpecGymID0009541	0.8731406412927846	Cc1nc(N)c2ncn(C3OC(CO)C(O)C3O)c2n1
MoNA_82360	MassSpecGymID0376466	0.7304678862496287	CC(=CCc1c(O)c(Cl)c(C)c(C=O)c1O)CCC1(C)C(C)CCC(=O)C1C
MoNA_82360	MassSpecGymID0246059	0.7314602882185006	CC(=CCc1c(O)c(Cl)c(C)c(C=O)c1O)CCC1(C)C(C)CCC(=O)C1C
MoNA_8451	MassSpecGymID0284477	0.8423909388952726	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1
MoNA_8451	MassSpecGymID0378036	0.863227049333899	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1
MoNA_67493	MassSpecGymID0194046	0.8040358304354827	CC1CC(=O)C2=C(O1)OC1(C)CCC3C(C)(C)C4OC4C(=O)C3(C)C1C2
MoNA_71073	MassSpecGymID0195419	0.8197715863459253	C=c1cc(O)c2c(O)c(OC)c(O)c3c(O)c4c(c1c23)OC(C)C4(C)C
MoNA_65337	MassSpecGymID0095531	0.7342774441201091	COc1cc2c(cc1OC)C1C(=O)c3ccc4c(c3OC1CO2)CC(C(C)C)O4
MoNA_8058	MassSpecGymID0117994	0.7154397314393337	C=c1cc(O)c2c(O)c(OC)c(O)c3c(O)c4c(c1c23)OC(C)C4(C)C
MoNA_82360	MassSpecGymID0005217	0.7402193614414403	CC(=CCc1c(O)c(Cl)c(C)c(C=O)c1O)CCC1(C)C(C)CCC(=O)C1C
MoNA_67525	MassSpecGymID0193979	0.7430695489653265	COC(=O)CC(O)C1OC(c2ccccc2)C(O)C1O
MoNA_38543	MassSpecGymID0181895	0.8303026456865581	C=C1C(=O)OC2CC(C)=C(C(C)CCCOC3OC(CO)C(O)C(O)C3O)C(O)C12
MoNA_8451	MassSpecGymID0380118	0.9063490518781124	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1
MoNA_85548	MassSpecGymID0120121	0.728687613198917	CCN1CC2(C)CCC(O)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6O
MoNA_8058	MassSpecGymID0351278	0.7258429011272671	C=c1cc(O)c2c(O)c(OC)c(O)c3c(O)c4c(c1c23)OC(C)C4(C)C
MoNA_67370	MassSpecGymID0202974	0.783002092307741	CC1=C(CCC(C)OC2OC(CO)C(O)C(O)C2O)C(C)(C)CC(O)C1
MoNA_693	MassSpecGymID0158107	0.7011571039427931	CC1OC(OC2C(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)O)CCC45C)C3(C)CO)OCC(O)C2O)C(O)C(OC2OCC(O)C(O)C2O)C1O
MoNA_42471	MassSpecGymID0181892	0.7575653424108096	COc1cc2oc3c(Cl)c(OC)c(Cl)c(C)c3c(=O)c2c(O)c1Cl
MoNA_67214	MassSpecGymID0398434	0.8091132806799617	OCC1OC(Oc2cc(O)c3c(c2)OC(c2ccc(O)cc2)C(O)C3)C(O)C(O)C1O
MoNA_45577	MassSpecGymID0067422	0.9126898167943626	COC1C(O)C(CO)OC1n1cnc2c(=O)[nH]cnc21
MoNA_8451	MassSpecGymID0047221	0.7452475323507247	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1
MoNA_95902	MassSpecGymID0155755	1.0000000000000002	COc1cc2ccc(=O)oc2c(OC2OC(CO)C(O)C(O)C2O)c1OC
MoNA_82360	MassSpecGymID0354157	0.8201828411894815	CC(=CCc1c(O)c(Cl)c(C)c(C=O)c1O)CCC1(C)C(C)CCC(=O)C1C
MoNA_8058	MassSpecGymID0275423	0.8490079316325668	C=c1cc(O)c2c(O)c(OC)c(O)c3c(O)c4c(c1c23)OC(C)C4(C)C
MoNA_45650	MassSpecGymID0206741	0.85315064471219	CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1
MoNA_14952	MassSpecGymID0125190	0.8275051209742239	COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c([O-])c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C
MoNA_8451	MassSpecGymID0047247	0.8303425743731795	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1
MoNA_67214	MassSpecGymID0190128	0.875559322267351	OCC1OC(Oc2cc(O)c3c(c2)OC(c2ccc(O)cc2)C(O)C3)C(O)C(O)C1O
MoNA_67493	MassSpecGymID0192151	0.7559971563697798	CC1CC(=O)C2=C(O1)OC1(C)CCC3C(C)(C)C4OC4C(=O)C3(C)C1C2
MoNA_45650	MassSpecGymID0224670	0.8178061081208636	CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1
MoNA_67370	MassSpecGymID0202996	0.9242474194401682	CC1=C(CCC(C)OC2OC(CO)C(O)C(O)C2O)C(C)(C)CC(O)C1
MoNA_8451	MassSpecGymID0268089	0.8532907848248579	COc1ccc(C=CC(=O)C=Cc2ccc(OC)cc2)cc1
