name_main,name_sub,cosine_similarity,prob_similarity,true_label,status,shared_loss_count
MassSpecGymID0226552,MassSpecGymID0238499,0.0,0.4775571227073669,1.0,Missed,0
MassSpecGymID0075035,MassSpecGymID0078833,0.0,0.8804859519004822,1.0,Caught,1
MassSpecGymID0075036,MassSpecGymID0078839,0.0,0.931542992591858,1.0,Caught,2
MassSpecGymID0075034,MassSpecGymID0078831,0.0,0.8535997271537781,1.0,Caught,1
MassSpecGymID0075025,MassSpecGymID0078833,0.0,0.8715115189552307,1.0,Caught,1
MassSpecGymID0075033,MassSpecGymID0078829,0.0,0.8746997117996216,1.0,Caught,1
MassSpecGymID0075028,MassSpecGymID0078837,0.0,0.9345163106918336,1.0,Caught,1
MassSpecGymID0217294,MassSpecGymID0218248,0.0,0.9341565370559692,1.0,Caught,3
MassSpecGymID0217293,MassSpecGymID0218250,0.0,0.9222657084465028,1.0,Caught,3
MassSpecGymID0040191,MassSpecGymID0225656,0.0,0.2007541358470916,1.0,Missed,0
MassSpecGymID0215504,MassSpecGymID0233891,0.0,0.2831961810588836,1.0,Missed,0
MassSpecGymID0228293,MassSpecGymID0233425,0.0,0.4564310908317566,1.0,Missed,0
MassSpecGymID0040206,MassSpecGymID0225656,0.0,0.2007541358470916,1.0,Missed,0
MassSpecGymID0075026,MassSpecGymID0078836,0.0,0.9050326943397522,1.0,Caught,1
MassSpecGymID0203970,MassSpecGymID0236285,0.0,0.2926491498947143,1.0,Missed,3
MassSpecGymID0075037,MassSpecGymID0078840,0.0,0.869967520236969,1.0,Caught,1
MassSpecGymID0075025,MassSpecGymID0078838,0.0,0.8799877166748047,1.0,Caught,1
MassSpecGymID0075026,MassSpecGymID0078829,0.0,0.8986042141914368,1.0,Caught,1
MassSpecGymID0075037,MassSpecGymID0078832,0.0,0.8638355135917664,1.0,Caught,1
MassSpecGymID0075036,MassSpecGymID0078830,0.0,0.8564357757568359,1.0,Caught,2
MassSpecGymID0203970,MassSpecGymID0230063,0.0,0.6291549205780029,1.0,Caught,3
MassSpecGymID0075024,MassSpecGymID0078835,0.0,0.957513391971588,1.0,Caught,1
MassSpecGymID0004901,MassSpecGymID0060719,0.0,0.2050837129354477,1.0,Missed,0
MassSpecGymID0229309,MassSpecGymID0230733,0.0,0.5021348595619202,1.0,Caught,0
MassSpecGymID0004889,MassSpecGymID0060731,0.0,0.6596838235855103,1.0,Caught,0
MassSpecGymID0075020,MassSpecGymID0078830,0.0,0.8660716414451599,1.0,Caught,2
MassSpecGymID0004905,MassSpecGymID0060728,0.0,0.203344851732254,1.0,Missed,0
MassSpecGymID0075024,MassSpecGymID0078834,0.0,0.9631680250167848,1.0,Caught,1
MassSpecGymID0079022,MassSpecGymID0214283,0.0,0.2359252721071243,1.0,Missed,0
MassSpecGymID0218249,MassSpecGymID0222803,0.0,0.1741157323122024,1.0,Missed,0
MassSpecGymID0075035,MassSpecGymID0078838,0.0,0.8829152584075928,1.0,Caught,1
MassSpecGymID0004892,MassSpecGymID0060729,0.0,0.1618884205818176,1.0,Missed,0
MassSpecGymID0075034,MassSpecGymID0078837,0.0,0.9500023126602172,1.0,Caught,1
MassSpecGymID0004892,MassSpecGymID0060716,0.0,0.6834152936935425,1.0,Caught,0
MassSpecGymID0075020,MassSpecGymID0078839,0.0,0.9237158298492432,1.0,Caught,2
MassSpecGymID0004890,MassSpecGymID0060727,0.0,0.1323581337928772,1.0,Missed,0
MassSpecGymID0075028,MassSpecGymID0078831,0.0,0.8888649940490723,1.0,Caught,1
MassSpecGymID0075033,MassSpecGymID0078836,0.0,0.902072250843048,1.0,Caught,1
MassSpecGymID0109548,MassSpecGymID0169765,0.9999692492223484,0.9254107475280762,1.0,Caught,1
MassSpecGymID0109540,MassSpecGymID0110019,0.9999692492223484,0.8983628749847412,1.0,Caught,0
MassSpecGymID0109544,MassSpecGymID0110015,0.9999692492223484,0.9074297547340392,1.0,Caught,0
MassSpecGymID0109543,MassSpecGymID0110015,0.9999692492223484,0.9378731846809388,1.0,Caught,0
MassSpecGymID0109557,MassSpecGymID0169758,0.9999692492223484,0.9097993969917296,1.0,Caught,0
MassSpecGymID0109536,MassSpecGymID0110013,0.9999692492223484,0.9117687344551086,1.0,Caught,1
MassSpecGymID0109551,MassSpecGymID0169768,0.9999692492223484,0.9314712285995485,1.0,Caught,1
MassSpecGymID0109549,MassSpecGymID0169758,0.9999692492223484,0.9064069986343384,1.0,Caught,0
MassSpecGymID0109536,MassSpecGymID0110016,0.9999692492223484,0.8983628749847412,1.0,Caught,1
